state,x,y
Andhra Pradesh,-68.0,-203.0
Arunachal Pradesh,252.0,144.0
Assam,221.0,84.0
Bihar,75.0,59.0
Chhattisgarh,-3.0,-51.0
Goa,-183.0,-190.0
Gujarat,-228.0,-7.0
Haryana,-123.0,145.0
Himachal Pradesh,-101.0,209.0
Jharkhand,68.0,1.0
Karnataka,-139.0,-215.0
Kerala,-129.0,-306.0
Madhya Pradesh,-84.0,-1.0
Maharashtra,-147.0,-92.0
Manipur,245.0,45.0
Meghalaya,185.0,64.0
Mizoram,228.0,11.0
Nagaland,256.0,86.0
Odisha,56.0,-64.0
Punjab,-142.0,182.0
Rajasthan,-185.0,83.0
Sikkim,129.0,104.0
Tamil Nadu,-85.0,-295.0
Telangana,-68.0,-129.0
Tripura,201.0,18.0
Uttar Pradesh,-29.0,84.0
Uttarakhand,-61.0,162.0
West Bengal,122.0,-4.0






